aX,aY,aZ,gX,gY,gZ
0.454,-0.310,-0.878,-2.991,-1.831,0.366

-0.489,0.260,2.433,134.094,3.540,30.212
-0.606,0.297,2.647,179.077,6.287,45.288
-0.638,0.337,2.723,225.037,8.118,70.435
-0.639,0.489,2.739,267.761,5.798,105.591
-0.662,0.661,2.793,307.251,2.747,138.367
-0.612,0.875,2.947,348.999,7.019,155.334
-0.609,1.063,3.180,400.452,18.555,157.471
-0.699,1.048,3.221,466.858,28.015,149.353
-0.749,1.060,3.215,523.499,16.418,151.978
-0.794,1.154,3.248,573.364,-9.460,168.091
-0.781,1.186,3.173,615.662,-27.588,184.814
-0.828,1.148,3.007,644.653,-17.761,200.989
-0.845,1.103,2.647,661.987,17.395,223.022
-0.856,1.008,2.274,656.982,62.256,242.065
-0.877,0.929,1.888,640.137,103.210,252.319
-0.846,0.880,1.723,620.728,126.282,258.850
-0.828,0.754,1.550,610.840,133.850,257.690
-0.696,0.750,1.139,605.713,134.766,264.648
-0.629,0.781,0.680,594.055,146.179,276.367
-0.484,0.906,0.047,572.937,170.654,287.476
-0.374,1.042,-0.451,546.997,190.186,296.387
-0.266,1.322,-0.677,505.310,205.444,295.044
-0.165,1.638,-1.078,473.999,198.486,278.503
-0.185,2.012,-1.649,455.200,177.429,247.314
-0.123,2.397,-2.306,435.852,140.076,209.412
0.093,2.736,-2.885,405.640,100.403,185.669
0.231,3.086,-3.191,350.464,99.609,178.162
0.182,3.647,-3.497,282.654,117.432,162.537
0.210,4.000,-3.883,225.708,100.647,140.625
0.303,3.998,-4.000,172.546,58.594,110.168
0.578,3.428,-4.000,128.113,6.775,57.739
0.583,2.535,-3.839,89.050,-28.320,-31.555
0.347,1.363,-2.850,17.151,-52.185,-80.017
0.179,0.285,-1.516,-53.406,-64.697,-96.924
0.117,-0.722,-0.371,-91.492,-51.636,-103.577
0.150,-1.521,0.425,-91.492,-35.461,-85.022
0.306,-2.063,0.787,-67.688,-23.010,-52.368
0.493,-2.351,0.863,-34.058,-7.263,-20.813
0.596,-2.294,0.739,-0.549,4.578,-0.610
0.610,-2.009,0.444,31.494,10.559,8.850
0.527,-1.578,0.033,55.298,15.991,13.428
0.408,-1.130,-0.395,67.078,21.240,19.287
0.295,-0.678,-0.733,64.026,28.015,31.006
0.259,-0.270,-0.942,50.110,36.926,47.974
0.351,0.054,-1.104,38.879,46.570,59.692
0.481,0.267,-1.241,36.438,52.795,57.007
0.537,0.393,-1.300,36.804,51.147,46.204
0.522,0.387,-1.267,28.198,43.213,39.856
0.489,0.355,-1.228,15.503,33.203,36.438
0.466,0.254,-1.214,7.874,28.076,31.189
0.456,0.112,-1.178,1.343,25.635,18.250
0.452,-0.081,-1.026,-6.348,14.343,-0.549
0.342,-0.280,-0.902,-3.662,2.563,-17.700
0.246,-0.449,-0.831,-1.892,-7.202,-16.296
0.275,-0.556,-0.849,-6.653,-11.414,-4.761
0.296,-0.628,-0.813,-15.381,-7.263,5.188
0.285,-0.605,-0.721,-23.621,-5.920,16.907
0.337,-0.540,-0.688,-24.841,-5.676,28.992
0.437,-0.503,-0.702,-16.785,-1.709,27.649
0.491,-0.469,-0.693,-3.479,-0.366,14.282
0.462,-0.406,-0.700,8.179,-3.418,7.324
0.467,-0.346,-0.762,14.709,-5.432,7.446
0.457,-0.284,-0.855,16.846,-3.479,9.094
0.465,-0.246,-0.924,14.648,-1.648,8.911
0.474,-0.231,-0.953,9.155,-0.671,7.080
0.462,-0.248,-0.930,2.563,1.648,6.348
0.455,-0.277,-0.865,-2.869,4.333,5.859
0.470,-0.309,-0.818,-5.920,5.127,6.653
0.481,-0.322,-0.804,-7.629,4.822,7.019
0.460,-0.333,-0.803,-7.629,4.456,6.775
0.462,-0.342,-0.820,-6.531,3.235,6.226
0.475,-0.348,-0.822,-5.371,2.930,4.456
0.466,-0.354,-0.829,-3.052,3.479,1.038
0.453,-0.379,-0.829,-0.671,2.014,-1.038
0.446,-0.383,-0.828,-0.061,0.854,-1.343
0.446,-0.377,-0.844,-1.099,2.380,-0.549
0.463,-0.374,-0.827,-1.709,3.723,0.183
0.460,-0.353,-0.816,-1.099,4.028,-0.732
0.454,-0.348,-0.813,0.977,2.441,-2.563
0.442,-0.348,-0.800,3.601,-0.610,-3.662
0.430,-0.346,-0.828,5.615,-1.404,-3.418
0.445,-0.348,-0.872,6.104,-0.916,-1.343
0.461,-0.355,-0.908,3.418,0.000,0.000
0.458,-0.369,-0.895,-1.160,0.061,0.549
0.455,-0.368,-0.853,-4.456,-0.793,0.610
0.455,-0.372,-0.816,-5.493,-0.549,0.244
0.452,-0.368,-0.812,-5.127,-0.854,0.244
0.451,-0.365,-0.826,-4.456,-1.465,0.000
0.441,-0.368,-0.817,-4.639,-1.526,-0.610
0.426,-0.381,-0.800,-4.517,-0.427,-1.160
0.439,-0.386,-0.796,-3.723,0.549,-0.732
0.450,-0.388,-0.814,-3.235,1.709,0.244
0.462,-0.383,-0.822,-2.930,0.854,0.732
0.466,-0.377,-0.837,-3.052,-0.977,0.305
0.467,-0.374,-0.854,-3.601,-2.014,-0.488
0.470,-0.361,-0.861,-4.883,-2.197,-1.404
0.471,-0.352,-0.853,-6.470,-2.075,-2.991
0.471,-0.353,-0.838,-7.690,-2.625,-4.639
0.462,-0.361,-0.815,-8.362,-2.930,-6.348
0.445,-0.392,-0.783,-7.751,-2.991,-6.714
0.441,-0.417,-0.771,-6.775,-2.197,-4.700
0.444,-0.425,-0.784,-6.531,-0.305,-1.770
0.455,-0.425,-0.794,-6.470,0.732,0.610
0.462,-0.425,-0.802,-6.409,0.854,2.136
0.463,-0.422,-0.807,-6.409,0.183,2.197
0.460,-0.419,-0.815,-6.470,-0.549,1.587
0.457,-0.404,-0.834,-6.592,-0.732,0.854
0.462,-0.381,-0.839,-7.690,-1.038,0.549
0.479,-0.373,-0.830,-7.996,-2.197,0.061
0.491,-0.369,-0.821,-7.568,-3.052,-1.099
0.494,-0.371,-0.811,-6.653,-4.272,-2.563
0.484,-0.388,-0.775,-5.188,-4.944,-4.761
0.477,-0.415,-0.745,-2.991,-4.761,-6.470
0.475,-0.418,-0.752,-0.305,-5.066,-6.348
0.493,-0.418,-0.784,2.014,-5.920,-5.798
0.501,-0.422,-0.812,2.930,-7.324,-5.859
0.494,-0.421,-0.809,2.136,-8.362,-6.531
0.492,-0.427,-0.794,0.610,-7.629,-6.226
0.493,-0.420,-0.788,-1.282,-5.249,-4.578

-0.249,0.040,2.523,226.562,-46.509,26.306
-0.256,0.134,2.691,269.226,-67.200,35.522
-0.344,0.148,2.848,317.139,-78.430,39.429
-0.483,0.125,2.958,368.164,-88.196,47.424
-0.575,0.207,3.069,415.955,-105.042,66.650
-0.638,0.280,3.179,467.102,-120.789,87.158
-0.762,0.265,3.249,513.672,-124.146,107.483
-0.946,0.289,3.154,550.598,-101.990,133.789
-1.076,0.344,2.992,575.928,-56.946,169.128
-1.175,0.362,2.643,591.675,-4.333,206.055
-1.087,0.451,2.151,596.802,45.593,246.094
-0.969,0.551,1.800,586.060,90.210,278.076
-0.907,0.648,1.418,573.059,121.765,295.898
-0.813,0.771,1.022,563.477,139.709,309.448
-0.677,0.904,0.653,553.223,153.931,320.984
-0.503,1.039,0.230,539.185,167.480,333.618
-0.317,1.192,-0.182,515.320,181.885,336.792
-0.133,1.400,-0.667,481.812,191.101,324.097
-0.008,1.599,-1.083,445.740,189.636,300.781
-0.037,1.703,-1.326,415.283,180.969,263.367
-0.032,1.763,-1.440,397.827,149.719,224.243
0.032,1.888,-1.473,380.554,119.690,197.998
0.051,2.005,-1.597,359.863,112.854,179.504
0.114,2.206,-1.844,341.125,105.896,169.312
0.160,2.430,-2.108,311.035,95.337,165.466
0.049,2.710,-2.303,270.874,88.318,166.626
0.198,2.970,-2.613,231.201,67.505,165.710
0.346,2.882,-3.206,198.792,47.913,151.306
0.470,2.728,-3.575,150.574,42.053,116.089
0.597,2.124,-3.477,91.064,22.705,64.392
0.566,1.532,-2.925,35.278,6.836,-22.644
0.342,0.836,-2.097,-17.334,-12.756,-72.571
0.122,0.150,-1.269,-51.758,-29.236,-91.125
0.026,-0.484,-0.629,-69.153,-36.682,-87.402
0.054,-0.959,-0.279,-64.880,-40.955,-78.857
0.180,-1.282,-0.169,-47.180,-40.466,-61.951
0.269,-1.424,-0.139,-33.081,-37.170,-39.124
